auto,AUTO
double,DOUBLE
int,INT
struct,^
const,CONST
float,FLOAT
short,SHORT
unsigned,UNSIGNED
break,^
else,^
long,LONG	
switch,^
continue,^	
for,^
signed,SIGNED
void,VOID
case,^
enum,^
register,^
typedef,^
default,^
goto,^
sizeof,^
volatile,^
char,CHAR	
extern,^
return,^
union,^
do,^	
if,^
static,STATIC
while,^
#include,^
(,OPENPARENTHESES
),CLOSEPARENTHESES
[,OPENSQUAREBRACKETS
],CLOSESQUAREBRACKETS
{,OPENBRACES
},CLOSEBRACES
<,LESSTHAN
>,GREATERTHAN
>=,GREATEREQUALTO
<=,LESSEREQUALTO
=,EQUALS
==,DOUBLEEQUALS
!,NOT
*,DEREFERENCE
+,PLUS
-,MINUS
--,MINUSMINUS
++,PLUSPLUS
*=,MULTIPLYEQUALS
+=,SUMEQUALS
-=,MINUSEQUALS
%,MOD
/=,MODEQUALS
->,POINTERDEREFERENCE
;,SEMICOLON
:,COLON
stdio.h,LIB
stdlib.h,LIB
pthread.h,LIB
mmap.h,LIB
